station_id,NAME,STATE/COUNTRY ID,ELEV,Latitude,Longitude
10102,MARSHALL/ROBERTS FIELD,LI,9999,6.233333332999999,-10.43333333
33123,WHEELUS,LY,13,32.9,13.21666667
13002,CASABLANCA/CAZES FIELD,MC,49,33.58333333,-7.5
13005,MARRAKECH,MC,461,31.65,-8.15
13007,OUJDA,MC,460,34.75,-1.9
13013,TOUAHAR,MC,564,34.2,-4.25
12101,ATAR,MT,235,20.46666667,-13.03333333
80509,BOUGAINVILLE/AAF,NG,40,-6.233333332999999,155.1333333
80412,FINSCHHAFEN/AAF,NG,15,-6.6166666670000005,147.85
80425,JACKSON,NG,37,-9.45,147.2166667
80411,LAE/AAF,NG,5,-6.75,146.93333330000002
81601,ESPIRITU SANTO/AAF,NH,9,-15.5,167.2666667
30001,APAPA,NI,3,6.45,3.433333333
31001,KANO,NI,475,12.05,8.5
31101,MAIDUGURI,NI,354,11.85,13.13333333
11801,MERCEDES,NK,63,12.13333333,-86.23333333
11606,WILLEMSTAD,NU,9,12.18333333,-68.96666667
20501,CHRISTMAS ISLAND/AAF,NZ,2,1.983333333,-157.41666669999998
32501,MASIRAH ISLAND,OM,16,20.65,58.83333333
31501,SALALAH,OM,17,17.05,54.06666667
61502,BORA BORA/AAF,PF,3,-16.45,-151.7333333
41207,CLARK,PH,146,15.18333333,120.5
41204,MANILA/AAF,PH,5,14.5,121.06666670000001
42401,IWO JIMA/AB,PI,114,24.78333333,141.2666667
40601,KWAJALEIN/AFB,PI,3,8.716666667,167.7833333
20602,PALMYRA ISLAND/LINE ISLANDS,PI,2,5.8833333329999995,-162.05
32603,BHOLARI,PK,53,25.31666667,68.18333333
32602,JIWANI,PK,56,25.06666667,61.8
32601,KARACHI,PK,21,24.9,67.25
10701,BALBOA/ALBROOK,PM,9,8.966666667,-79.5
10804,DAVID,PM,23,8.383333333,-82.33333333
10718,FORT KOBBE,PM,16,8.916666667000001,-79.63333333
10705,HOWARD,PM,10,8.916666667000001,-79.65
10704,JAQUE,PM,5,7.5,-78.01666667
10802,POCRI,PM,14,7.733333332999999,-80.0
10703,REY ISLAND,PM,24,8.233333333,-78.08333333
10803,RIO HATO,PM,22,8.366666667,-80.0
15605,KUUJJAUQ/AIRPORT,PQ,816,58.1,-68.03333333
15604,MINGAN,PQ,23,50.28333333,-64.01666667
50802,TALARA,PR,88,-4.533333333,-81.01666667
11101,DAKAR/EKNES FIELD,SG,22,14.71666667,-17.01666667
11103,DAKAR/MALLARD FIELD,SG,21,14.75,-17.05
80510,BANIKA/AAF,SO,18,-9.066666667,159.0166667
80504,MUNDA/AAF,SO,8,-8.333333332999999,157.0166667
34018,ISTRES,SP,24,43.5,4.083333333
11610,WALLER/BWI,TD,41,10.61666667,-61.01666667
12702,SOUTH CAICOS ISLAND,TI,4,21.48333333,-71.05
62701,TONGATABU ISLAND,TO,30,-21.25,-175.0
33109,EL AQUINA,TS,4,36.85,10.01666667
33121,EL DJEM,TS,9999,35.33333333,10.06666667
33003,SISI AHMED,TS,4,37.2,9.083333332999999
33307,ADANA,TU,20,36.98333333,35.01666667
15027,WARRINGTON,UK,27,53.38333333,-2.05
